Date,Month,WeekNum,WeekDay,Quarter,Year,Lines,Shifts,LinesInShift1,LinesInShift2,LinesInShift3,Operating Hours,Elapsed Hrs,PlanVol,PlanVolS,PlanVolM,PlanVolL,PlanRev,PlanLabCost,PlanMatCost,PlanEnerCost,PlanFixCost,PlanTotalCost,PlanCostPerUnit,PlanRevPerUnit,PlanOP,PlanOPMargin,ActVol,ActVolS,ActVolM,ActVolL,ActRev,ActLabCost,ActMatCost,ActEnerCost,ActFixCost,ActTotalCost,ActCostperUnit,ActRevPerUnit,ActOP,ActOPMargin,ActOPPer-Unit,OPVariance,VolVariance,Efficiency%,EfficiencyActS,EfficiencyActM,EfficiencyActL,
13-01-2022,1,3,5,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1409,747,381,281,36881,6788.5,13592,2151.6,503,23035.1,16.34854507,26.17530163,13845.9,37.54209485,9.826756565,202.9,31,97.84722222,53.01632363,27.04045422,19.94322214,
14-01-2022,1,3,6,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1412,749,452,211,33512,7207.2,11972,2140.6,497,21816.8,15.4509915,23.73371105,11695.2,34.89854381,8.282719547,-1947.8,28,98.05555556,53.04532578,32.01133144,14.94334278,
15-01-2022,1,3,7,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,10296,13265,2200,500,26261,18.23680556,25.32777778,10211,27.99681948,1446,781,507,158,31877,9987.12,11383,2244,503.5,24117.62,16.67885201,22.04495159,7759.38,24.34162562,5.366099585,-2451.62,-6,100.4166667,54.01106501,35.06224066,10.92669433,
16-01-2022,1,4,1,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,10296,13265,2200,500,26261,18.23680556,25.32777778,10211,27.99681948,1420,725,469,226,33559,10512.22,12405,2156,508,25581.22,18.01494366,23.63309859,7977.78,23.77240085,5.61815493,-2233.22,20,98.61111111,51.05633803,33.02816901,15.91549296,
17-01-2022,1,4,2,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1446,651,376,419,40896,6781.63,15148,2171.4,497.5,24598.53,17.01143154,28.28215768,16297.47,39.85101232,11.27072614,2654.47,-6,100.4166667,45.02074689,26.00276625,28.97648686,
18-01-2022,1,4,3,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1438,691,489,258,34159,6685.54,12458,2158.2,513,21814.74,15.17019471,23.75452017,12344.26,36.1376504,8.584325452,-1298.74,2,99.86111111,48.05285118,34.00556328,17.94158554,
19-01-2022,1,4,4,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1400,672,378,350,38078,6980.69,14774,2202.2,513,24469.89,17.47849286,27.19857143,13608.11,35.73745995,9.720078571,-34.89,40,97.22222222,48,27,25,
20-01-2022,1,4,5,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1397,755,475,167,31515,6795.36,9679,2171.4,510,19155.76,13.71206872,22.55905512,12359.24,39.21700777,8.846986399,-1283.76,43,97.01388889,54.04438082,34.00143164,11.95418754,
21-01-2022,1,4,6,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1404,759,492,153,30952,7049.33,10739,2153.8,511,20453.13,14.56775641,22.04558405,10498.87,33.91984363,7.477827635,-3144.13,36,97.5,54.05982906,35.04273504,10.8974359,
22-01-2022,1,4,7,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,10296,13265,2200,500,26261,18.23680556,25.32777778,10211,27.99681948,1383,664,346,373,38956,10471.03,15149,2138.4,495.5,28253.93,20.42945047,28.16775127,10702.07,27.4721994,7.738300795,491.07,57,96.04166667,48.01156905,25.01807664,26.9703543,
23-01-2022,1,5,1,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,10296,13265,2200,500,26261,18.23680556,25.32777778,10211,27.99681948,1440,648,418,374,38598,10512.22,15627,2142.8,488,28770.02,19.97918056,26.80416667,9827.98,25.46240738,6.824986111,-383.02,0,100,45,29.02777778,25.97222222,
24-01-2022,1,5,2,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1386,707,375,304,36825,6809.09,14520,2248.4,514.5,24091.99,17.38238817,26.56926407,12733.01,34.57708079,9.186875902,-909.99,54,96.25,51.01010101,27.05627706,21.93362193,
25-01-2022,1,5,3,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1434,703,373,358,39403,6712.99,15120,2180.2,508.5,24521.69,17.10020223,27.4776848,14881.31,37.76694668,10.37748257,1238.31,6,99.58333333,49.0237099,26.0111576,24.9651325,
26-01-2022,1,5,4,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1453,669,364,420,41474,6925.78,14842,2175.8,504,24447.58,16.82558844,28.54370268,17026.42,41.05323817,11.71811425,3383.42,-13,100.9027778,46.04267034,25.05161734,28.90571232,
27-01-2022,1,5,5,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1385,748,485,152,30565,6891.46,9947,2233,493,19564.46,14.1259639,22.06859206,11000.54,35.99064289,7.942628159,-2642.46,55,96.18055556,54.00722022,35.01805054,10.97472924,
28-01-2022,1,5,6,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1407,718,437,252,34617,6630.62,11664,2169.2,504,20967.82,14.90250178,24.60341151,13649.18,39.42912442,9.700909737,6.18,33,97.70833333,51.03056148,31.05899076,17.91044776,
29-01-2022,1,5,7,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,10296,13265,2200,500,26261,18.23680556,25.32777778,10211,27.99681948,1430,758,372,300,38152,10234.22,14115,2191.2,502.5,27042.92,18.91113287,26.67972028,11109.08,29.11794926,7.768587413,898.08,10,99.30555556,53.00699301,26.01398601,20.97902098,
30-01-2022,1,6,1,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,10296,13265,2200,500,26261,18.23680556,25.32777778,10211,27.99681948,1445,752,506,187,32456,10553.4,12304,2248.4,494,25599.8,17.71612457,22.46089965,6856.2,21.12459946,4.744775087,-3354.8,-5,100.3472222,52.04152249,35.01730104,12.94117647,
31-01-2022,1,6,2,1,2022,6,2,4,2,0,48,16,1440,720,432,288,36472,6864,13265,2200,500,22829,15.85347222,25.32777778,13643,37.4067778,1449,754,479,216,33939,6994.42,12245,2151.6,487.5,21878.52,15.09904762,23.42236025,12060.48,35.53575533,8.323312629,-1582.52,-9,100.625,52.03588682,33.05728088,14.9068323,
01-02-2022,2,6,3,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1612,871,420,321,42640,8144.78,16117,2464.8,530.25,27256.83,16.90870347,26.4516129,15383.17,36.07685272,9.542909429,-958.83,68,95.95238095,54.03225806,26.05459057,19.91315136,
02-02-2022,2,6,4,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1659,813,432,414,45562,7863.12,16922,2479.2,529.75,27794.07,16.75350814,27.46353225,17767.93,38.99725649,10.71002411,1425.93,21,98.75,49.00542495,26.039783,24.95479204,
03-02-2022,2,6,5,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1678,823,588,267,38668,7683.17,14618,2378.4,506.01,25185.58,15.00928486,23.04410012,13482.42,34.86712527,8.034815256,-2859.58,2,99.88095238,49.04648391,35.04171633,15.91179976,
04-02-2022,2,6,6,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1672,820,469,383,44259,8309.09,15903,2397.6,501.97,27111.66,16.21510766,26.47069378,17147.34,38.74317088,10.25558612,805.34,8,99.52380952,49.0430622,28.05023923,22.90669856,
05-02-2022,2,6,7,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,11736,15473,2400,505,30114,17.925,25.32380952,12430,29.21681083,1645,856,445,344,43365,12099.82,15132,2496,512.58,30240.4,18.38322188,26.36170213,13124.6,30.26542142,7.978480243,694.6,35,97.91666667,52.03647416,27.05167173,20.9118541,
06-02-2022,2,7,1,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,11736,15473,2400,505,30114,17.925,25.32380952,12430,29.21681083,1685,809,540,336,41650,12510.58,16156,2469.6,506.52,31642.7,18.77905045,24.71810089,10007.3,24.02713085,5.939050445,-2422.7,-5,100.297619,48.01186944,32.04747774,19.94065282,
07-02-2022,2,7,2,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1695,899,526,270,41036,7714.46,14013,2517.6,524.7,24769.76,14.61342773,24.2100295,16266.24,39.63895116,9.59660177,-75.76,-15,100.8928571,53.03834808,31.03244838,15.92920354,
08-02-2022,2,7,3,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1647,906,429,312,43249,8262.14,15222,2505.6,511.06,26500.8,16.09034608,26.25925926,16748.2,38.72505723,10.16891318,406.2,33,98.03571429,55.00910747,26.04735883,18.9435337,
09-02-2022,2,7,4,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1634,785,425,424,45215,7690.99,16956,2376,502.48,27525.47,16.84545288,27.67135863,17689.53,39.12314497,10.82590575,1347.53,46,97.26190476,48.04161567,26.00979192,25.94859241,
10-02-2022,2,7,5,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1610,757,532,321,39332,8215.2,14041,2419.2,504.5,25179.9,15.63968944,24.42981366,14152.1,35.98113495,8.790124224,-2189.9,70,95.83333333,47.01863354,33.04347826,19.9378882,
11-02-2022,2,7,6,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1644,773,576,295,38556,7980.48,13666,2508,515.61,24670.09,15.00613747,23.45255474,13885.91,36.01491337,8.446417275,-2456.09,36,97.85714286,47.01946472,35.03649635,17.94403893,
12-02-2022,2,7,7,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,11736,15473,2400,505,30114,17.925,25.32380952,12430,29.21681083,1656,878,481,297,41711,12111.55,15620,2448,518.13,30697.68,18.53724638,25.18780193,11013.32,26.40387428,6.650555556,-1416.68,24,98.57142857,53.01932367,29.04589372,17.93478261,
13-02-2022,2,8,1,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,11736,15473,2400,505,30114,17.925,25.32380952,12430,29.21681083,1635,753,409,473,46689,12111.55,18866,2457.6,528.74,33963.89,20.77302141,28.5559633,12725.11,27.25504937,7.782941896,295.11,45,97.32142857,46.05504587,25.01529052,28.92966361,
14-02-2022,2,8,2,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1682,808,438,436,46518,8129.14,17933,2481.6,514.6,29058.34,17.27606421,27.65636147,17459.66,37.53312696,10.38029727,1117.66,-2,100.1190476,48.03804994,26.04042806,25.921522,
15-02-2022,2,8,3,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1629,734,554,341,39664,7612.75,14530,2390.4,506.52,25039.67,15.37119091,24.34868017,14624.33,36.87053752,8.977489257,-1717.67,51,96.96428571,45.05831799,34.00859423,20.93308778,
16-02-2022,2,8,4,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1690,896,457,337,44227,8097.84,17144,2426.4,522.17,28190.41,16.68071598,26.16982249,16036.59,36.25972822,9.489106509,-305.41,-10,100.5952381,53.01775148,27.04142012,19.9408284,
17-02-2022,2,8,5,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1622,730,422,470,45862,7636.22,17680,2512.8,528.74,28357.76,17.48320592,28.27496917,17504.24,38.16719724,10.79176326,1162.24,58,96.54761905,45.00616523,26.01726264,28.97657213,
18-02-2022,2,8,6,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1621,730,487,404,42627,7667.52,16298,2436,521.67,26923.19,16.60900062,26.29673041,15703.81,36.84005443,9.687729796,-638.19,59,96.48809524,45.03392967,30.04318322,24.92288711,
19-02-2022,2,8,7,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,11736,15473,2400,505,30114,17.925,25.32380952,12430,29.21681083,1617,874,486,257,39596,12393.22,14199,2438.4,505.51,29536.13,18.26600495,24.4873222,10059.87,25.40627841,6.221317254,-2370.13,63,96.25,54.05071119,30.05565863,15.89363018,
20-02-2022,2,9,1,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,11736,15473,2400,505,30114,17.925,25.32380952,12430,29.21681083,1663,832,549,282,39649,12346.27,15915,2409.6,520.66,31191.53,18.7561816,23.84185207,8457.47,21.33085324,5.085670475,-3972.53,17,98.98809524,50.03006615,33.01262778,16.95730607,
21-02-2022,2,9,2,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1686,911,473,302,42943,8082.19,14608,2484,511.57,25685.76,15.2347331,25.47034401,17257.24,40.18638661,10.23561091,915.24,-6,100.3571429,54.03321471,28.05456702,17.91221827,
22-02-2022,2,9,3,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1638,852,426,360,44026,7667.52,17394,2481.6,518.64,28061.76,17.13172161,26.87789988,15964.24,36.26093672,9.746178266,-377.76,42,97.5,52.01465201,26.00732601,21.97802198,
23-02-2022,2,9,4,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1609,885,564,160,35154,8199.55,13043,2464.8,503.49,24210.84,15.04713487,21.84835301,10943.16,31.12920294,6.801218148,-5398.84,71,95.77380952,55.00310752,35.05282784,9.944064636,
24-02-2022,2,9,5,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1618,809,567,242,36977,7690.99,13388,2440.8,517.63,24037.42,14.85625464,22.85352287,12939.58,34.99359061,7.997268232,-3402.42,62,96.30952381,50,35.04326329,14.95673671,
25-02-2022,2,9,6,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1681,791,421,469,47641,7769.23,17676,2400,528.23,28373.46,16.87891731,28.34086853,19267.54,40.44318969,11.46195122,2925.54,-1,100.0595238,47.05532421,25.0446163,27.90005949,
26-02-2022,2,9,7,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,11736,15473,2400,505,30114,17.925,25.32380952,12430,29.21681083,1641,854,542,245,38452,12510.58,12443,2395.2,528.74,27877.52,16.98812919,23.43205363,10574.48,27.50046812,6.443924436,-1855.52,39,97.67857143,52.04143815,33.02864107,14.92992078,
27-02-2022,2,10,1,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,11736,15473,2400,505,30114,17.925,25.32380952,12430,29.21681083,1678,806,487,385,43957,12358.01,16296,2424,524.7,31602.71,18.83355781,26.19606675,12354.29,28.10539846,7.362508939,-75.71,2,99.88095238,48.03337306,29.02264601,22.94398093,
28-02-2022,2,10,2,1,2022,7,2,4,3,0,56,16,1680,840,504,336,42544,7824,15473,2400,505,26202,15.59642857,25.32380952,16342,38.41199699,1667,851,517,299,41037,7667.52,14694,2515.2,527.22,25403.94,15.23931614,24.61727654,15633.06,38.09503619,9.377960408,-708.94,13,99.22619048,51.04979004,31.01379724,17.93641272,
01-03-2022,3,10,3,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,8784,17681,2600,510,29575,15.40364583,25.32083333,19041,39.16611815,1909,974,535,400,49795,8704.94,20303,2662.4,519.18,32189.52,16.86198009,26.08433735,17605.48,35.35591927,9.222357255,-1435.52,11,99.42708333,51.02147721,28.02514405,20.95337873,
02-03-2022,3,10,4,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,8784,17681,2600,510,29575,15.40364583,25.32083333,19041,39.16611815,1895,891,569,435,49089,8977.25,17336,2704,531.42,29548.67,15.5929657,25.90448549,19540.33,39.80592393,10.31151979,499.33,25,98.69791667,47.01846966,30.02638522,22.95514512,
03-03-2022,3,10,5,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,8784,17681,2600,510,29575,15.40364583,25.32083333,19041,39.16611815,1902,1009,571,322,46981,9565.78,18177,2657.2,545.19,30945.17,16.26980547,24.70084122,16035.83,34.13258551,8.431035752,-3005.17,18,99.0625,53.04942166,30.02103049,16.92954784,
04-03-2022,3,10,6,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,8784,17681,2600,510,29575,15.40364583,25.32083333,19041,39.16611815,1883,1036,641,206,42061,9021.17,16213,2678,540.09,28452.26,15.11006904,22.33722783,13608.74,32.35477045,7.227158789,-5432.26,37,98.07291667,55.01858736,34.04142326,10.93998938,
05-03-2022,3,10,7,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,13176,17681,2600,510,33967,17.69114583,25.32083333,14649,30.13205529,1894,1004,569,321,46779,13347.29,15860,2776.8,526.83,32510.92,17.16521647,24.69852165,14268.08,30.50103679,7.533305174,-380.92,26,98.64583333,53.0095037,30.04223865,16.94825766,
06-03-2022,3,11,1,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,13176,17681,2600,510,33967,17.69114583,25.32083333,14649,30.13205529,1918,883,518,517,52898,13808.45,21548,2717,525.3,38598.75,20.12447862,27.57977059,14299.25,27.03174033,7.455291971,-349.75,2,99.89583333,46.0375391,27.00729927,26.95516163,
07-03-2022,3,11,2,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,8784,17681,2600,510,29575,15.40364583,25.32083333,19041,39.16611815,1875,938,600,337,45630,9021.17,17584,2774.2,534.99,29914.36,15.95432533,24.336,15715.64,34.44146395,8.381674667,-3325.36,45,97.65625,50.02666667,32,17.97333333,
08-03-2022,3,11,3,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,8784,17681,2600,510,29575,15.40364583,25.32083333,19041,39.16611815,1877,883,545,449,49525,9390.1,19697,2758.6,538.05,32383.75,17.25293021,26.38518913,17141.25,34.61130742,9.132258924,-1899.75,43,97.76041667,47.04315397,29.03569526,23.92115077,
09-03-2022,3,11,4,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,8784,17681,2600,510,29575,15.40364583,25.32083333,19041,39.16611815,1852,926,630,296,43250,9530.64,15516,2709.2,534.48,28290.32,15.27555076,23.35313175,14959.68,34.58885549,8.077580994,-4081.32,68,96.45833333,50,34.01727862,15.98272138,
10-03-2022,3,11,5,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,8784,17681,2600,510,29575,15.40364583,25.32083333,19041,39.16611815,1847,887,592,368,45642,9434.02,17095,2740.4,519.69,29789.11,16.12837574,24.71142393,15852.89,34.73311862,8.583048186,-3188.11,73,96.19791667,48.02382241,32.05197618,19.92420141,
11-03-2022,3,11,6,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,8784,17681,2600,510,29575,15.40364583,25.32083333,19041,39.16611815,1919,883,519,517,52899,9126.58,22310,2748.2,524.79,34709.57,18.08732152,27.56591975,18189.43,34.38520577,9.478598228,-851.57,1,99.94791667,46.01354872,27.04533611,26.94111516,
12-03-2022,3,11,7,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,13176,17681,2600,510,33967,17.69114583,25.32083333,14649,30.13205529,1830,952,586,292,43786,13847.98,17749,2628.6,516.12,34741.7,18.98453552,23.92677596,9044.3,20.65568903,4.942240437,-5604.7,90,95.3125,52.02185792,32.02185792,15.95628415,
13-03-2022,3,12,1,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,13176,17681,2600,510,33967,17.69114583,25.32083333,14649,30.13205529,1844,996,517,331,46987,13887.5,18067,2631.2,541.11,35126.81,19.0492462,25.48101952,11860.19,25.24142848,6.431773319,-2788.81,76,96.04166667,54.01301518,28.03687636,17.95010846,
14-03-2022,3,12,2,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,8784,17681,2600,510,29575,15.40364583,25.32083333,19041,39.16611815,1892,852,587,453,48837,9205.63,19046,2724.8,530.91,31507.34,16.65292812,25.81236786,17329.66,35.48469398,9.159439746,-1711.34,28,98.54166667,45.03171247,31.02536998,23.94291755,
15-03-2022,3,12,3,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,8784,17681,2600,510,29575,15.40364583,25.32083333,19041,39.16611815,1847,961,555,331,45975,9460.37,16210,2730,517.65,28918.02,15.65675149,24.8917163,17056.98,37.10055465,9.234964808,-1984.02,73,96.19791667,52.03031944,30.04872767,17.9209529,
16-03-2022,3,12,4,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,8784,17681,2600,510,29575,15.40364583,25.32083333,19041,39.16611815,1922,1000,596,326,46936,8827.92,16083,2680.6,518.67,28110.19,14.62548907,24.42039542,18825.81,40.10953213,9.794906348,-215.19,-2,100.1041667,52.02913632,31.00936524,16.96149844,
17-03-2022,3,12,5,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,8784,17681,2600,510,29575,15.40364583,25.32083333,19041,39.16611815,1895,948,493,454,51673,9548.21,18824,2745.6,528.36,31646.17,16.69982586,27.26807388,20026.83,38.75685561,10.56824802,985.83,25,98.69791667,50.02638522,26.01583113,23.95778364,
18-03-2022,3,12,6,1,2022,8,2,4,4,0,64,16,1920,960,576,384,48616,8784,17681,2600,510,29575,15.40364583,25.32083333,19041,39.16611815,1907,992,668,247,42818,8810.35,15093,2771.6,517.14,27192.09,14.25909282,22.45306765,15625.91,36.49378766,8.19397483,-3415.09,13,99.32291667,52.01887782,35.02884111,12.95228107,
